class,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports,cute,sex,sexy,hot,kissed,dance,band,marching,music,rock,god,church,jesus,bible,hair,dress,blonde,mall,shopping,clothes,hollister,abercrombie,die,death,drunk,drugs
0,0.326436781609,0.285057471264,0.206896551724,0.181609195402,0.151724137931,0.11724137931,0.0942528735632,0.103448275862,0.0896551724138,0.165517241379,0.712643678161,0.512643678161,2.90344827586,0.220689655172,0.114942528736,0.606896551724,0.319540229885,0.0183908045977,0.832183908046,0.383908045977,0.645977011494,0.209195402299,0.0942528735632,0.016091954023,0.701149425287,0.151724137931,0.232183908046,0.319540229885,0.326436781609,0.245977011494,0.0620689655172,0.0252873563218,0.268965517241,0.142528735632,0.170114942529,0.0620689655172
1,0.296375266525,0.304193319119,0.138592750533,0.134328358209,0.132906894101,0.18763326226,0.0682302771855,0.0739161336176,0.0874200426439,0.108742004264,0.910447761194,0.257285003554,0.18407960199,1.03198294243,0.103056147832,2.63255152807,0.279317697228,0.00995024875622,1.23169864961,0.452736318408,0.609808102345,0.498223169865,0.122956645345,0.0177683013504,0.821606254442,0.55223880597,0.146410803127,0.491115849325,0.668798862829,0.302771855011,0.0326936744847,0.0298507462687,0.250888415068,0.144278606965,0.118692253021,0.0426439232409
2,0.587115666179,0.546120058565,0.270863836018,0.303074670571,0.213762811127,0.270863836018,0.156661786237,0.279648609078,0.175695461201,0.532942898975,0.768667642753,2.86090775988,0.326500732064,0.244509516837,1.88286969253,0.88579795022,0.758418740849,0.0424597364568,2.2635431918,1.1420204978,0.976573938507,0.434846266471,0.134699853587,0.0380673499268,3.54465592972,0.399707174231,1.00439238653,0.696925329429,0.534407027818,0.803806734993,0.153733528551,0.162518301611,1.20351390922,0.505124450952,0.831625183016,1.16983894583
3,0.200750469043,0.322701688555,0.108818011257,0.112570356473,0.0975609756098,0.157598499062,0.0393996247655,0.046904315197,0.0975609756098,0.0769230769231,0.333958724203,0.180112570356,0.101313320826,0.0975609756098,0.0919324577861,0.476547842402,4.93433395872,1.47091932458,1.4052532833,0.3808630394,0.577861163227,0.311444652908,0.136960600375,0.0300187617261,0.410881801126,0.148217636023,0.0712945590994,0.223264540338,0.339587242026,0.166979362101,0.0112570356473,0.0112570356473,0.191369606004,0.135084427767,0.0581613508443,0.0431519699812
4,0.421052631579,0.37386569873,4.90381125227,0.156079854809,0.161524500907,0.208711433757,0.0562613430127,0.103448275862,0.13611615245,0.257713248639,0.31941923775,0.141560798548,0.107078039927,0.130671506352,0.0798548094374,0.368421052632,0.237749546279,0.0145190562613,0.803992740472,0.295825771325,0.480943738657,0.34664246824,0.10889292196,0.021778584392,0.441016333938,0.112522686025,0.112522686025,0.283121597096,0.502722323049,0.134301270417,0.070780399274,0.0471869328494,0.197822141561,0.10889292196,0.0762250453721,0.05444646098
5,0.130913363428,0.130480489766,0.0875023189661,0.0608496691608,0.0632613938532,0.10209634531,0.0286315008348,0.0351246057758,0.0677756477645,0.0680230041432,0.212293612022,0.105930369179,0.0706202461196,0.0442149526931,0.0397006987818,0.219219590625,0.169191763033,0.00921402510667,0.602003586667,0.168326015707,0.310494094366,0.14297198689,0.0590563354152,0.00420505843794,0.230845340424,0.0574485189537,0.048234493847,0.1544740585,0.231649248655,0.0765567992085,0.011625749799,0.00680230041432,0.129367386061,0.0843485251376,0.059303691794,0.0252921897223
6,0.316524437548,0.385570209465,0.200155159038,0.152831652444,0.232738557021,0.33126454616,0.129557796742,0.088440651668,0.131885182312,0.134988363072,0.817688130334,0.181536074476,0.155934833204,0.187742435997,0.0961986035687,0.543832428239,0.179208688906,0.00465477114042,0.879751745539,0.290923196276,0.482544608223,0.346780449961,0.0977501939488,0.00853374709077,0.876648564779,0.228083785881,0.183087664856,1.16291698991,1.39255236618,0.543832428239,0.904577191621,0.678820791311,0.190069821567,0.149728471683,0.102404965089,0.044996121024
7,0.398113207547,0.496226415094,0.207547169811,0.207547169811,0.162264150943,0.169811320755,2.93018867925,0.154716981132,0.0698113207547,0.135849056604,0.51320754717,0.196226415094,0.130188679245,0.201886792453,0.101886792453,0.598113207547,0.184905660377,0.0132075471698,0.696226415094,0.301886792453,0.545283018868,0.371698113208,0.109433962264,0.0169811320755,0.533962264151,0.141509433962,0.245283018868,0.445283018868,0.737735849057,0.192452830189,0.133962264151,0.101886792453,0.160377358491,0.116981132075,0.0792452830189,0.0641509433962
8,1.08187863674,0.921862011638,0.190357439734,0.876974231089,0.648379052369,0.174147963425,0.0502909393184,0.631753948462,0.158769742311,0.594763092269,0.309642560266,0.185369908562,0.0785536159601,0.0868661679135,0.0660847880299,0.336242726517,0.256857855362,0.0137157107232,0.961762261014,0.377389858687,1.31338320865,0.748545303408,0.449293433084,0.138403990025,0.428096425603,0.0897755610973,0.119285120532,0.251454696592,0.359517871987,0.155860349127,0.0178719866999,0.0153782211139,0.245220282627,0.204904405653,0.0814630091438,0.0440565253533
