basketball	football	soccer	softball	volleyball	swimming	cheerleading	baseball	tennis	sports	cute	sex	sexy	hot	kissed	dance	band	marching	music	rock	god	church	jesus	bible	hair	dress	blonde	mall	shopping	clothes	hollister	abercrombie	die	death	drunk	drugs
0,192532943	0,149524158	0,416727672	0,105051245	0,11841142	0,307833089	0,167459736	0,043740849	0,150988287	0,100475842	0,561127379	0,166727672	0,230966325	0,09022694	0,081808199	0,840043924	0,189970717	0,000915081	1,043374817	0,328513909	0,628843338	0,371888726	0,105417277	0,000183016	0,508967789	0,205710102	0,09114202	0,27818448	0,62079063	0,08272328	0,019948755	0,007137628	0,316983895	0,243228404	0,050695461	0,039348463
0,603896104	0,521103896	0,400974026	0,272727273	0,228896104	0,25974026	0,181818182	0,284090909	0,163961039	0,586038961	0,762987013	3,053571429	0,418831169	0,246753247	1,88961039	0,917207792	0,803571429	0,040584416	2,344155844	1,310064935	0,978896104	0,428571429	0,13474026	0,035714286	3,612012987	0,368506494	1,055194805	0,717532468	0,547077922	0,625	0,170454545	0,173701299	1,308441558	0,519480519	0,76461039	1,323051948
0,392391304	0,37173913	0,332608696	0,177173913	0,152173913	0,266304348	0,190217391	0,108695652	0,148913043	0,160869565	1,20326087	0,4	0,307608696	0,20326087	0,280434783	1,010869565	0,309782609	0,020652174	1,264130435	0,425	0,648913043	0,565217391	0,117391304	0,007608696	1,388043478	0,402173913	0,204347826	0,745652174	1,258695652	1,667391304	0,114130435	0,068478261	0,282608696	0,179347826	0,104347826	0,070652174
0,29218107	0,301783265	0,238683128	0,14266118	0,17558299	0,179698217	0,157750343	0,090534979	0,0781893	0,150891632	0,598079561	0,356652949	0,38957476	1,683127572	0,109739369	0,676268861	0,209876543	0,010973937	0,847736626	0,288065844	0,502057613	0,279835391	0,076817558	0,005486968	0,641975309	0,137174211	0,165980796	0,427983539	0,48696845	0,153635117	0,0521262	0,049382716	0,205761317	0,148148148	1,041152263	0,056241427
0,337220603	0,36345967	0,299319728	0,175898931	0,265306122	0,208940719	0,458697765	0,100097182	0,113702624	0,149659864	0,639455782	0,150631681	0,191448008	0,211856171	0,085519922	0,688046647	0,162293489	0,003887269	0,821185617	0,262390671	0,413994169	0,261418853	0,087463557	0,004859086	0,744412051	0,244897959	0,178814383	1,235179786	0,997084548	0,227405248	1,075801749	0,862001944	0,1797862	0,140913508	0,076773567	0,044703596
1,316675434	1,439768543	0,467122567	0,95581273	0,683850605	0,150973172	0,154655445	0,816412415	0,166228301	0,660704892	0,315097317	0,192530247	0,123093109	0,099421357	0,050499737	0,425565492	0,187269858	0,008416623	0,796948974	0,374013677	0,442398738	0,316675434	0,092582851	0,006312467	0,402419779	0,092582851	0,173592846	0,250394529	0,338769069	0,114150447	0,02945818	0,017885324	0,133087849	0,099421357	0,042083114	0,028406102
0,344106464	0,245247148	0,22243346	0,16730038	0,140684411	0,13878327	0,104562738	0,08365019	0,11026616	0,13878327	0,300380228	0,19581749	0,115969582	0,119771863	0,074144487	0,429657795	0,3878327	0,034220532	1,02661597	0,328897338	3,735741445	1,872623574	1,709125475	0,83269962	0,452471483	0,127376426	0,096958175	0,201520913	0,36121673	0,152091255	0,038022814	0,022813688	0,323193916	0,25095057	0,091254753	0,072243346
0,178613396	0,276145711	0,160987074	0,121034078	0,078730905	0,137485311	0,055229142	0,048178613	0,079905993	0,086956522	0,265569918	0,156286722	0,109283196	0,079905993	0,074030552	0,461809636	4,044653349	1,086956522	1,460634548	0,376028202	0,468860165	0,262044653	0,111633373	0,009400705	0,351351351	0,135135135	0,07520564	0,188014101	0,278495887	0,121034078	0,011750881	0,012925969	0,183313749	0,129259694	0,05052879	0,036427732
0,121731139	0,101595789	0,084969505	0,068844515	0,061742836	0,031414487	0,034672905	0,032249979	0,034672905	0,068844515	0,104770658	0,086306291	0,065753196	0,043027822	0,026568636	0,141030997	0,113125574	0,001503885	0,444147381	0,120143705	0,237112541	0,092238282	0,048124321	0,000835492	0,142117136	0,028406717	0,036761634	0,120812098	0,113961066	0,045450748	0,011780433	0,006934581	0,067089982	0,029743504	0,029910602	0,02013535
